 1/ 1/1979	42D9 1PJJ -
 1/ 2/1979	4349 1PJJ -
 1/ 4/1979	3J19 1PJJ -
 1/ 7/1979	3JA9 1PL9 -
 1/ 9/1979	3L39 1PL9  
 1/11/1979	3LE9 1PL9  
 1/14/1979	3P59 1PL9  
 1/16/1979	3PL9 1PL9  
 1/19/1979	4079 1PL9  
 1/21/1979	47E9 1PLA -
 1/24/1979	4859 1PLA -
 1/26/1979	48L9 1PLA -
 1/28/1979	4979 1PLA -
 1/29/1979	4979 1PLA  
 1/30/1979	4A09 1PLA  
 2/ 1/1979	43J9 1PLA  
 2/ 3/1979	4469 1PLA  
 2/ 5/1979	44P9 1PP6  
 2/ 8/1979	4589 1PP6  
 2/10/1979	4619 1PP6  
 2/13/1979	46A9 1PP6  
 2/15/1979	4739 1PP6 +
 2/18/1979	47E9 1PP6 +
 2/19/1979	47E9 1PP7  
 2/20/1979	4859 1PP7  
 2/22/1979	48L9 1PP7  
 2/24/1979	4979 1PP7  
 2/26/1979	4A09 1PP7  
 2/28/1979	4A99 1PP7  
 3/ 1/1979	4A99 1937  
 3/ 2/1979	4D29 1937  
 3/ 4/1979	4D29 1943 +
 3/ 5/1979	4DD9 1943 +
 3/ 7/1979	4E49 1943 +
 3/ 9/1979	4EJ9 1943 +
 3/12/1979	4J69 1943 +
 3/14/1979	4JP9 1943 +
 3/17/1979	4L89 1943 +
 3/19/1979	4P19 1943 +
 3/21/1979	4PA9 1938  
 3/24/1979	5039 1938  
 3/26/1979	50E9 1938  
 3/28/1979	4A99 1938 -
 3/29/1979	4A99 1944 -
 3/30/1979	4D29 1944 -
 4/ 1/1979	4DD9 1944 -
 4/ 3/1979	4E49 1944 -
 4/ 6/1979	4EJ9 1944 -
 4/ 7/1979	0299 1944 -
 4/ 8/1979	0329 1944 -
 4/11/1979	03D9 1944 -
 4/13/1979	0449 1944 -
 4/15/1979	04J9 1944 -
 4/18/1979	0569 1944  
 4/20/1979	05P9 2004  
 4/21/1979	05P9 2005 -
 4/22/1979	0689 2005 -
 4/23/1979	0689 1P81 -
 4/24/1979	0059 1P81 -
 4/26/1979	00L9 1P81 -
 4/28/1979	0179 1P81 -
 5/ 1/1979	0209 1P81 -
 5/ 3/1979	0299 1P81 -
 5/ 6/1979	0329 1P81 -
 5/ 8/1979	03D9 1P81 -
 5/11/1979	0449 1P81  
 5/13/1979	04J9 1P81  
 5/15/1979	0569 1P81  
 5/16/1979	0E29 1P81  
