 1/ 1/1900	3L48 37A1 -
 1/ 9/1900	3L48 37A1  
 1/20/1900	3L48 37AL -
 1/21/1900	3L49 37AL -
 1/22/1900	4509 37AL -
 1/29/1900	4509 37AL  
 2/14/1900	4509 372A  
 2/15/1900	4509 372A +
 2/19/1900	4509 372D  
 3/ 1/1900	4DE9 372D  
 3/ 4/1900	4DE9 372D -
 3/11/1900	4DE9 3737 -
 3/21/1900	4DE9 372E  
 3/30/1900	4DE9 372E +
 4/ 6/1900	4DE9 3738 +
 4/ 8/1900	 189 3738 +
 4/17/1900	 189 3738  
 4/21/1900	 189 3739 -
 5/ 6/1900	 189 3745 -
 5/11/1900	 189 3745  
 5/17/1900	 849 3745  
 5/22/1900	 849 3746 -
 5/26/1900	 849 3746  
 6/ 9/1900	 849 3746 +
 6/22/1900	 849 3747  
 6/27/1900	 P09 3747 +
 7/19/1900	 P08 3747 +
 7/23/1900	 P08 3748  
 8/10/1900	15E8 3748  
 8/24/1900	15E8 3749 -
 9/ 3/1900	15E8 3749  
 9/ 9/1900	15E8 3755  
 9/19/1900	15E8 3755 +
 9/24/1900	15E8 3756  
 9/27/1900	1E88 3756  
10/ 7/1900	1E88 3756 +
10/ 9/1900	1E88 3762 +
10/17/1900	1E89 3762 +
10/24/1900	1E89 3763  
10/30/1900	1E89 3763 +
11/ 4/1900	1E89 376P +
11/19/1900	1E89 376P  
11/23/1900	2349 3770 -
11/29/1900	2349 377E -
12/13/1900	2349 377E  
12/22/1900	2349 377J -
12/23/1900	2349 3789 -
 1/ 3/1901	2349 3789  
 1/16/1901	2349 3795  
 1/19/1901	2349 3L55  
 1/21/1901	2349 3L56  
 2/ 7/1901	2349 3L56 +
 2/10/1901	2349 3L62 +
 2/19/1901	2349 3L63  
 3/ 2/1901	1E89 3L63  
 3/ 6/1901	1E89 3L6P  
 3/21/1901	1E89 3L64 +
 3/30/1901	1E89 3JL0 +
 4/16/1901	1E89 3JL0  
 4/21/1901	1E89 3JL1 -
 4/23/1901	1E89 3JLJ -
 5/ 4/1901	1E89 3JLJ  
 5/11/1901	2349 3JLJ  
 5/17/1901	2349 3JP9  
 5/18/1901	2349 3JP9 +
 5/22/1901	2349 3JPA  
 6/ 2/1901	2349 3JPA +
 6/11/1901	2349 3L06 +
 6/22/1901	2349 3L07  
 7/ 5/1901	2349 3L13  
 7/14/1901	2A09 3L13  
 7/20/1901	2A09 3LA3  
 7/24/1901	2A09 3LA4 -
 7/30/1901	2A09 3LD0 -
 8/10/1901	2A09 3LD0  
 8/24/1901	2A09 3LDJ -
 8/26/1901	2A09 3LDJ  
 9/ 1/1901	30E9 3LDJ  
 9/11/1901	30E9 3LDJ +
 9/17/1901	30E9 3LE9 +
 9/24/1901	30E9 3LEA  
10/ 1/1901	30E9 3LEA +
10/13/1901	30E9 3LJ6 +
10/15/1901	3789 3LJ6 +
10/24/1901	3789 3LJ7  
11/ 8/1901	3789 3LL3  
11/23/1901	3789 3LL4 -
11/24/1901	3L49 3LL4 -
